rdate,rhour,central_western,eastern,kwun_tong,sham_shui_po,kwai_chung,tsuen_wan,tseung_kwan_o,yuen_long,tuen_mun,tung_chung,tai_po,shatin,tap_mun,causeway_bay,central,mong_kok
2017-05-01,01,6,6,5,6,4,4,5,4,5,5,5,4,3,6,5,6
2017-05-01,02,6,6,5,6,5,4,4,4,5,5,5,4,3,6,5,6
2017-05-01,03,6,6,5,6,5,5,4,4,5,5,5,4,3,6,5,6
2017-05-01,04,6,5,5,5,5,5,4,4,5,5,5,4,3,5,5,5
2017-05-01,05,6,5,5,5,5,5,4,5,5,4,5,4,3,5,5,5
2017-05-01,06,5,5,5,5,5,4,4,4,5,4,5,4,3,5,5,5
2017-05-01,07,5,5,5,5,5,4,4,4,5,4,5,3,3,5,5,5
2017-05-01,08,5,5,5,5,4,4,4,4,5,5,5,4,3,5,5,5
2017-05-01,09,5,5,5,5,4,4,5,4,5,5,5,4,3,5,5,5
2017-05-01,10,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5
2017-05-01,11,5,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5
2017-05-01,12,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
2017-05-01,13,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
2017-05-01,14,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
2017-05-01,15,5,5,4,5,5,5,5,5,5,4,5,5,5,5,4,5
2017-05-01,16,4,5,4,5,4,5,5,5,5,4,5,5,5,5,4,5
2017-05-01,17,4,5,4,4,4,4,5,4,5,4,5,5,5,5,4,5
2017-05-01,18,4,5,4,4,4,4,5,4,4,4,5,5,5,5,4,5
2017-05-01,19,4,5,4,4,4,4,5,4,4,4,4,4,5,5,4,5
2017-05-01,20,4,5,4,4,4,4,5,4,4,4,4,4,4,5,4,5
2017-05-01,21,4,5,4,4,4,4,5,4,4,4,4,4,4,5,4,5
2017-05-01,22,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,5
2017-05-01,23,4,5,4,4,4,4,4,3,4,4,4,4,4,4,4,4
2017-05-01,24,4,4,4,4,4,3,4,3,4,4,4,3,3,4,4,4
2017-05-02,01,4,4,3,4,3,3,4,3,4,3,4,3,3,3,4,4
2017-05-02,02,3,4,3,3,3,3,3,3,3,3,4,3,2,3,3,3
2017-05-02,03,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
2017-05-02,04,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
2017-05-02,05,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
2017-05-02,06,3,3,3,3,3,2,3,3,3,3,3,2,2,3,3,3
2017-05-02,07,3,3,3,3,3,2,3,3,3,3,3,2,2,3,3,3
2017-05-02,08,3,3,3,3,3,3,3,2,3,3,3,3,2,3,3,3
2017-05-02,09,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3
